bonus,incorrectC1,incorrectC2,uniqueid,workerid
0.0,0.0,0.0,5ee7c8493d520b093cd0e45d:TSS_CAC_OA,5ee7c8493d520b093cd0e45d
0.0,0.0,0.0,5d75552566edbe0001356a20:TSS_RECONF_111022,5d75552566edbe0001356a20
0.0,0.0,0.0,55899b8dfdf99b7ae47f5fa4:TSS_RECONF_111022,55899b8dfdf99b7ae47f5fa4
0.0,0.0,0.0,5eab09eb60ed4e0ae2dc694f:TSS_RECONF_111022,5eab09eb60ed4e0ae2dc694f
0.0,0.0,0.0,6130cdbb53f773b3125576a7:TSS_RECONF_111022,6130cdbb53f773b3125576a7
0.0,0.0,0.0,559ef308fdf99b2616ff2a4f:TSS_RECONF_111022,559ef308fdf99b2616ff2a4f
0.0,0.0,0.0,64626b7afedc6a67a08dec52:TSS_RECONF_111022,64626b7afedc6a67a08dec52
0.0,0.0,0.0,601dc4afec317f1e601e72c0:TSS_RECONF_111022,601dc4afec317f1e601e72c0
0.0,0.0,0.0,632651a9f1a00140dc2b9487:TSS_RECONF_111022,632651a9f1a00140dc2b9487
0.0,0.0,0.0,6376916db0ae9a57d377d0d2:TSS_RECONF_111022,6376916db0ae9a57d377d0d2
0.0,0.0,0.0,60b18fbfb6c5d8edfaa5bed0:TSS_RECONF_111022,60b18fbfb6c5d8edfaa5bed0
0.0,0.0,0.0,63b0b5cfc9252404951ac395:TSS_RECONF_111022,63b0b5cfc9252404951ac395
0.0,0.0,0.0,622f847b881caa647e7ce207:TSS_RECONF_111022,622f847b881caa647e7ce207
0.0,0.0,0.0,6413c7853eba2b2215197ff4:TSS_RECONF_111022,6413c7853eba2b2215197ff4
0.0,0.0,0.0,62879b859698ba45e6afa90f:TSS_RECONF_111022,62879b859698ba45e6afa90f
0.0,,,62a3be0d93b8dd1e69b4317d:TSS_RECONF_111022,62a3be0d93b8dd1e69b4317d
0.0,0.0,0.0,6552428b01eebb19576c567d:TSS_RECONF_111022,6552428b01eebb19576c567d
0.0,0.0,0.0,63fcde3494055a563c72cb12:TSS_RECONF_111022,63fcde3494055a563c72cb12
0.0,0.0,0.0,5c1ffe5295f978000173df84:TSS_RECONF_111022,5c1ffe5295f978000173df84
0.0,0.0,0.0,6455616c0fe23ecca70ce1b9:TSS_RECONF_111022,6455616c0fe23ecca70ce1b9
0.0,0.0,0.0,628f572a2d1304a34b9e1a37:TSS_RECONF_111022,628f572a2d1304a34b9e1a37
0.0,0.0,0.0,6318be45a49442eee3a88cb3:TSS_RECONF_111022,6318be45a49442eee3a88cb3
0.0,,,5e9c8deb90dd470441c7f98e:TSS_RECONF_111022,5e9c8deb90dd470441c7f98e
0.0,0.0,0.0,654113b29db54ebe7243632a:TSS_RECONF_111022,654113b29db54ebe7243632a
0.0,0.0,0.0,64527892acde0fbd392a41d6:TSS_RECONF_111022,64527892acde0fbd392a41d6
0.0,,,6432bd368b24951a9e92714d:TSS_RECONF_111022,6432bd368b24951a9e92714d
0.0,0.0,0.0,64071f8576c48034c00df845:TSS_RECONF_111022,64071f8576c48034c00df845
0.0,0.0,0.0,610c940475aedaf9c70a190e:TSS_RECONF_111022,610c940475aedaf9c70a190e
0.0,0.0,0.0,63480954af4c7db036aa6595:TSS_RECONF_111022,63480954af4c7db036aa6595
0.0,1.0,0.0,64a281f78c5be10f0f28e3ac:TSS_RECONF_111022,64a281f78c5be10f0f28e3ac
0.0,0.0,0.0,65450acb15b86368927f3f7f:TSS_RECONF_111022,65450acb15b86368927f3f7f
0.0,0.0,0.0,60f728553a37102574b585c4:TSS_RECONF_111022,60f728553a37102574b585c4
0.0,0.0,0.0,5fb16308dc5973607fa3041c:TSS_RECONF_111022,5fb16308dc5973607fa3041c
0.0,,,644f255ec4f58fe559261911:TSS_RECONF_111022,644f255ec4f58fe559261911
0.0,1.0,0.0,640bb9ea594c3fb80a4be5fb:TSS_RECONF_111022,640bb9ea594c3fb80a4be5fb
0.0,0.0,0.0,63caa01beb22afd1f8a42b54:TSS_RECONF_111022,63caa01beb22afd1f8a42b54
0.0,0.0,0.0,5e8cf14c0bec230b335e060d:TSS_RECONF_111022,5e8cf14c0bec230b335e060d
0.0,0.0,0.0,646d3710dea5554a4b83d2a2:TSS_RECONF_111022,646d3710dea5554a4b83d2a2
0.0,0.0,0.0,5c330cefca23620001b262b1:TSS_RECONF_111022,5c330cefca23620001b262b1
0.0,0.0,0.0,6428f7ac297e312f7262d93b:TSS_RECONF_111022,6428f7ac297e312f7262d93b
0.0,0.0,0.0,5c6f2e7632cb70000169b490:TSS_RECONF_111022,5c6f2e7632cb70000169b490
0.0,0.0,0.0,647287f051cab7142b9ca9bf:TSS_RECONF_111022,647287f051cab7142b9ca9bf
0.0,0.0,0.0,58189c1f883c8800010ee630:TSS_RECONF_111022,58189c1f883c8800010ee630
0.0,0.0,0.0,6373b943edc58781ec916dc9:TSS_RECONF_111022,6373b943edc58781ec916dc9
0.0,0.0,0.0,63f030e4617ebd1995cef566:TSS_RECONF_111022,63f030e4617ebd1995cef566
0.0,0.0,0.0,6449707327ff66156c264c6f:TSS_RECONF_111022,6449707327ff66156c264c6f
0.0,,,5fcaa3f3d991a9748f8b9e1c:TSS_RECONF_111022,5fcaa3f3d991a9748f8b9e1c
0.0,0.0,0.0,64e36d981d00e7d7c45addc2:TSS_RECONF_111022,64e36d981d00e7d7c45addc2
0.0,0.0,0.0,6543abd612dc7fc77f466814:TSS_RECONF_111022,6543abd612dc7fc77f466814
0.0,0.0,0.0,615914a33224dc31f1045612:TSS_RECONF_111022,615914a33224dc31f1045612
0.0,0.0,0.0,62f18c2d37a5f255f351b61d:TSS_RECONF_111022,62f18c2d37a5f255f351b61d
0.0,,,5ceef5a66441f4000139711f:TSS_RECONF_111022,5ceef5a66441f4000139711f
0.0,0.0,0.0,65344ec64854d12a1baf93d6:TSS_RECONF_111022,65344ec64854d12a1baf93d6
0.0,2.0,0.0,64394a1454202dfbace21e90:TSS_RECONF_111022,64394a1454202dfbace21e90
0.0,0.0,0.0,5fd0ebb69497b30008547502:TSS_RECONF_111022,5fd0ebb69497b30008547502
0.0,0.0,0.0,5c0fcccc1f6f150001487111:TSS_RECONF_111022,5c0fcccc1f6f150001487111
0.0,0.0,0.0,6518cf249463264599a7918d:TSS_RECONF_111022,6518cf249463264599a7918d
